"","GSM1318547","GSM1318548","GSM1318549","GSM1318550","GSM1318552","GSM1318553","GSM1318554","GSM1318555"
"10010",8.72445210346876,8.78608791607516,8.74393193955591,9.11790446473839,8.41172555572808,8.48706380505132,8.49463319560529,8.70779272210659
"100101115",4.89388791531759,4.77616139809865,5.17459120093342,5.13937989215393,5.10463208087048,4.96099264262667,4.83515733237125,4.79439188180207
"100101116",4.85331609804632,4.86957175267722,4.85471446414622,4.86047872133803,4.94188879487194,4.77693631379635,5.0268124043342,4.95292301292023
"100101117",5.1865284796551,5.13273086446047,5.29053373154372,5.12851199245623,4.77616139809865,5.21513996026945,5.06973571443299,4.98945288418788
"100101118",5.00249041306983,4.83515733237125,5.28130840656473,5.09378561533035,5.21672652028717,5.09875009711184,5.05270137346,4.77859925459347
"100101120",5.41771805448611,5.7166338672807,5.92744600934429,4.94702200109141,5.29728078568908,5.47976442144939,5.29559319655086,5.19234009291588
"100101121",5.22749135740145,5.2754610604586,5.52403257654785,5.3282414899139,5.19155594343845,5.81455386386162,5.40956342526913,5.57457543590796
"100101266",4.69767980921103,4.80947656174127,4.68299800568599,4.82246403485399,5.53155555962231,4.68770984055266,4.64559588419898,4.6386728905134
"100101267",5.26049063322829,5.10714110417387,5.70119503641754,5.84714834864371,5.51228815523796,5.24626748652287,5.99475205497494,5.63780707831708
"100101467",5.35223889039263,5.33861005322511,5.24402412666947,5.07663964258605,5.36510230737852,5.32154994575847,5.61938366546329,5.2113673027472
"100101629",4.73138371705771,4.66993495209679,4.76642488404754,4.78823342410574,4.72384174060336,4.79335670373921,4.81230931870049,4.69404816697987
"10011",7.44434748803036,7.15591195078806,7.28350161055672,7.33461530096212,7.55641522016378,7.77672513020422,7.5926954477833,7.51718237721296
"100113378",5.32027437929015,5.27110846629985,5.04766115779964,5.27693136353607,4.89437173379807,4.99445998308195,5.14981583193725,5.15148621820263
"100113379",5.14012921333064,4.93463048478868,5.15298483510636,5.07405110964486,5.1382731162695,4.95471207157183,5.04281365993693,5.22669686076018
"100113380",5.10732681293982,5.26224103343626,5.22031055423364,5.14998975393068,5.07387165782632,5.46355781757774,5.45406460054993,5.42158336068695
"100113381",5.6808058878253,5.61252665868362,5.17862759879181,5.39557775424851,5.37237760888467,6.20103528035664,5.21513996026945,4.72473739942788
"100113382",5.38194276879682,5.13864913302664,5.27693136353607,5.13771449353006,5.1865284796551,4.97263611550185,5.30214412141734,5.19389907898085
"100113384",4.98478425386718,4.96219385515611,5.03485840290741,4.86644507263941,4.99054358731018,4.88143941481152,5.0268124043342,4.98827836622016
"100113386",4.99445998308195,5.09838835791443,5.10839551799451,5.16809684908967,5.36510230737852,4.98447244257351,5.60030590330993,5.02795556391569
"100113389",5.14775404366291,5.19195020916457,5.2468826472913,4.82488292202177,4.94547067068474,5.08762220060554,4.91033958547532,5.00187157283438
"100113391",4.92829636897002,4.94554555845765,4.83281437335517,4.8183805893523,4.94072151620341,5.03750382405934,4.87601057652315,4.95874196402908
"100113392",5.19662877786587,4.95485710789876,5.20958621834778,5.28360460692971,4.969905419802,4.82585114328559,4.79165037255427,5.20958621834778
"100113393",5.19155594343845,5.50635891337598,5.58062434732484,5.4856269627029,5.59983369532544,5.20192241451244,5.17746262144772,5.20821052324129
"100113402",5.26049063322829,4.89233280460835,5.28885409248816,5.22359670652537,5.18151590001724,4.86957175267722,4.99635042395601,4.96083923572651
"100113407",9.61617092821728,9.7869751099702,9.41401265699508,9.25973007300168,8.96803859546456,9.98291430314149,9.9289726457984,10.0158340635142
"100124516",5.35564135710242,5.29559319655086,5.39020201790507,5.32564550433756,5.44355730181309,5.51228815523796,5.42101140026778,5.31022413444067
"100124533",5.17765594483655,5.41590330971558,4.89464565664517,5.98108535109095,5.2268918006391,5.0542240857169,5.29559319655086,5.17478662897851
"100124534",5.77919173617731,5.54974257171395,5.45997438476136,5.60959105703608,5.56779369285838,5.49432196452286,5.29053373154372,5.69397151673767
"100124535",5.08063415997998,5.23745423732723,4.99023805855859,5.52035212938899,5.0490031537332,4.96219385515611,5.00463789943917,4.90637418812803
"100124536",5.39939753112951,5.16259608738209,5.37060716941929,4.97385664250606,5.67288449880672,5.30415854053016,5.39378407696991,5.04917413766192
"100124537",5.30235551069936,5.93613382176694,5.84013671906207,5.79197442480532,5.39671363492865,5.41794841823817,5.45406460054993,5.54614835191917
"100124538",5.4821099283545,5.95152495177858,5.41704183727848,6.28700131500395,5.38372470066716,5.3692880560684,6.29995912325217,5.84640165267455
"100124539",5.5723983097854,5.13864913302664,5.09237428652269,5.27400704375187,5.23736055668285,5.16221825788445,5.12851199245623,4.79530735270833
"100124540",5.74637324051184,4.98867096433041,5.61448000546275,5.29262943752469,5.40797648577001,5.62538782138714,5.24240194695016,5.16924983562606
